DAN,TEMP
1,28.07
2,26.65
3,26.49
4,27.61
5,22.27
6,26.39
7,23.77
8,21.92
9,24.34
10,25.82
11,28.57
12,29.75
13,21.01
14,20.96
15,21.99
16,26.52
17,28.47
18,26.23
19,30.23
20,29.22
21,27.92
22,26.66
23,19.39
24,29.79
25,29.20
26,27.38
27,24.98
28,26.24
29,27.01
30,28.12
31,29.12
32,28.91
33,29.91
34,29.02
35,27.84
36,27.02
37,28.35
38,26.95
39,28.57
40,27.86
41,25.31
42,26.42
43,26.67
44,21.92
45,26.73
46,26.02
47,22.22
48,26.45
49,26.33
50,28.83
51,27.32
52,32.41
53,30.94
54,25.69
55,21.52
56,18.05
57,17.22
58,22.47
59,25.97
60,26.24
61,19.27
62,18.23
63,22.47
64,23.20
65,23.58
66,23.30
67,22.77
68,26.71
69,28.75
70,28.64
71,24.57
72,28.63
73,31.15
74,30.15
75,27.38
76,26.41
77,24.70
78,20.33
79,19.78
80,16.91
81,19.56
82,23.42
83,27.58
84,29.32
85,27.14
86,22.65
87,15.77
88,20.14
89,21.30
90,26.64
91,22.70
92,20.22
93,19.81
94,25.06
95,25.51
96,27.52
97,21.52
98,16.56
99,17.22
100,17.07
101,16.39
102,15.44
103,14.08
104,16.16
105,20.62
106,16.96
107,12.70
108,12.95
109,22.97
110,28.58
111,9.52
112,14.58
113,19.69
114,14.45
117,17.14
118,23.31
120,15.64
121,16.85
133,21.00
134,15.33
135,13.61
137,9.53
139,16.40
140,15.00
141,10.93
142,4.80
143,6.54
144,12.72
145,16.29
147,11.23
148,8.07
149,0.23
151,-2.93
154,7.00
155,8.81
156,-1.08
157,-3.07
158,-0.22
159,1.29
160,1.43
161,-0.14
162,2.26
165,5.67
168,5.22
169,6.57
170,7.43
171,3.14
172,4.00
173,4.00
176,1.73
180,3.28
181,-0.05
182,0.42
183,0.71
184,-4.22
185,-1.92
186,-0.27
187,-8.21
188,-5.46
189,-4.60
190,-4.18
191,-8.26
192,-1.22
194,-2.03
196,-1.63
198,0.59
200,-15.79
204,-6.21
205,-3.57
206,-6.36
207,-18.00
208,-19.28
209,-17.00
210,-14.00
212,-5.93
213,-4.93
214,-5.60
216,-1.07
217,-2.47
218,3.85
220,-0.15
222,3.93
225,-5.52
227,-3.07
228,1.40
229,2.20
230,-8.74
231,-9.13
232,-11.46
233,-8.31
234,-12.67
235,-12.14
237,0.00
239,-1.87
240,3.71
243,1.00
247,0.00
248,5.21
249,14.07
250,1.93
251,-4.14
257,13.14
259,19.31
260,4.86
261,7.00
262,17.43
263,20.50
266,11.65
267,7.29
268,3.79
270,3.67
274,0.79
280,17.53
282,9.74
283,4.22
286,2.93
287,1.80
288,3.54
290,1.21
293,5.60
296,24.55
297,24.39
298,25.70
299,26.00
300,23.65
301,13.43
302,17.93
303,16.14
304,14.35
305,20.04
306,13.31
307,10.75
310,5.58
311,14.47
312,14.11
313,16.29
314,18.41
315,21.02
316,18.58
317,24.21
318,32.31
319,20.12
